id;a-10a;A-10C;A-10C II;A-10C II_easy;A-10C_easy;A-4E-C;AJS37;AV8BNA;Bf-109K-4;Bf-109K-4_easy;C-101CC;C-101EB;Christen Eagle II;Default;F-14;F-14_RIO;F-15C;F-16C_50;F-16C_50_easy;F-5E-3;F-5E-3_easy;F-86F;F-86F_easy;FA-18C_hornet;FA-18C_hornet_easy;FW-190A8;FW-190A8_easy;FW-190D9;FW-190D9_easy;ground_unit;I-16;J-11A;JF-17;ka-50;ka-50_easy;L-39C;L-39ZA;M-2000C;mi-8mt;mi-8mt_easy;mi-8mt_Gunner;mi-8mt_TrackIR_Gunner;MiG-15bis;MiG-15bis_easy;MiG-19P;MiG-19P_easy;MiG-21Bis;mig-29;mig-29c;mig-29g;NS430;P-47D-30;P-47D-30_easy;P-51D-30-NA;P-51D-30-NA_easy;SA342;SpitfireLFMkIX;SpitfireLFMkIXCW;SpitfireLFMkIX_easy;su-25;su-25T;su-27;su-33;TF-51D;TF-51D_easy;UH-1H;UH-1H_easy;UH-1H_Gunner;UH-1H_TrackIR_Gunner;UiLayer;Yak-52;Yak-52_easy
d3004pnilu3004cd19vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;RWR Indicator Control ALTITUDE Button;;;;;;;;;;;;;;;;;;;Sequence 1 APU-GEAR Extinguish Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilu3004cd14vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;Select Jettison Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Roof Lamp Low/Normal Button;;;;;;;;;;;;;;;;
d3006pnilunilcd21vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Sight Camera FPS Select Switch - 24/48;;;;;;;;;;;;;;;;;;;Transparent Switch - NIGHT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3007pnilunilcd2vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;Speed Brake Switch - OUT;;;;FLAP Switch - FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3007pnilunilcd41vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;TACAN Mode Selector Switch - CCW;;;;KY-58 Fill Select Knob - CCW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3007pnilunilcd41vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;TACAN Mode Selector Switch - CW;;;;KY-58 Fill Select Knob - CW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3016pnilunilcd23vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;UHF Radio Antenna Selector Switch - LOWER;;;;Auxiliary Release Switch - ENABLE/NORM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3022pnilunilcd23vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;UHF Radio Hinged Access Door - CLOSE;;;;Station Jettison Select Button RIGHT OUT - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3010pnilu3010cd12vd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;Warning Lights Brightness Switch - DIM/OFF;Warning Lights Brightness Switch - DIM/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d439pnilu440cdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;;;;;;A-4 Sight Electrical Caging Button (On Throttle);Sight Electric Cage Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3015pnilunilcd22vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;A-4 Sight Filament Selector Switch - SECONDARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UHF Radio Freq. Mode Select(rotary);;;;;;
d3008pnilunilcd16vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Air Outlet Selector Lever - BOTH;;;;;;;;;;;Ground Jettison Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3008pnilunilcd16vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Air Outlet Selector Lever - DEFROST;;;;;;;;;;;Ground Jettison Switch - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3018pnilunilcd16vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Air Outlet Selector Lever - Up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MODE -;;;;;;;;;;;;;;;;
d3006pnilunilcd27vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;AN/ARN-6 CW-VOICE Switch - CW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Station 3 Select;;;;;;;;;;;;;;;;
d3007pnilunilcd27vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;AN/ARN-6 Scale Light Switch - HI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Station 4 Select;;;;;;;;;;;;;;;;
d3017pnilu3017cd5vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;Bomb-Rocket-Tank Jettison Button;Bomb Rocket Tank Jettison;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3019pnilunilcd1vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;CB Aileron and Horizontal Stabilizer Trim Switch - OFF;;;;;;;;;;;;;;;;;Net on Rectifier Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3014pnilunilcd1vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;CB Anti-Ice and Screens Switch - OFF;;;;;;;;;;;;;;;;;AC Ground Power Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3013pnilunilcd1vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;CB Gyrosyn Compass Switch - OFF;;;;;;;;;;;;;;;;;36V Inverter Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3020pnilunilcd1vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;CB Landing Light Control Switch - OFF;;;;;;;;;;;;;;;;;36V Transformer Selector Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3017pnilunilcd1vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;CB Rudder Trim and TakeOff Indicator Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pitot Heater Switch;;;;;;
d3016pnilunilcd1vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;CB Turn and Bank Indicator Switch - OFF;;;;;;;;;;;;;;;;;Generator 2 Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3006pnilunilcd16vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Cockpit Air Temperature Control Switch Cover - OPEN;;;;;;;;;;;;;;;;;;;;;PRV-46 Radar Altimeter Indicator Range Switch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3017pnilunilcd16vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Cockpit Air Temperature Control Switch Cover - OPEN/CLOSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MODE +;;;;;;;;;;;;;;;;
d3007pnilunilcd5vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Demolition Bomb Arming Switch - TAIL ONLY;;Emergency/Parking Brake Handle - CW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3008pnilunilcd25vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Emergency Jettison Handle (All) - PULL/PUSH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VOR/ILS Mode Select (rotary);;;;;;
d3016pnilunilcd25vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Emergency Jettison Handle Cover - CLOSE;;UFC ADF Function Select Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3007pnilunilcd16vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Engine Anti-Ice & Screen Switch - ANTI-ICE;Engine Anti-Ice & Screen - Anti-Ice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3007pnilunilcd16vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Engine Anti-Ice & Screen Switch - RET;Engine Anti-Ice & Screen - Ret;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3011pnilu3011cd2vd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;Flight Control Switch - Down;;Wing Fold Control Handle - FOLD/HOLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3011pnilu3011cd2vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;Flight Control Switch - Up;;Wing Fold Control Handle - SPREAD/HOLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3005pnilunilcd1vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Generator Switch - OFF;;;;;;;;;;;;;;;;;Rectifier 2 Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3013pnilunilcd2vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Hydraulic Pressure Gauge Selector Switch - Down;;;;;;;;;;;;;;;;;Fuel Quantity Indicator Mode Selector Switch - CCW/Left;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3002pnilunilcd34vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Ignore Current AI Helper Prompt;;;;;;;;;;;;;;;;;;;;;Ignore Current AI Helper Prompt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd18vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Landing & Taxi Lights Switch - RETRACT;Landing & Taxi Lights - Retract;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd5vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Manual Pip Control Switch - BOMB;;Anti Skid Switch - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3003pnilunilcd16vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Pitot Heater Switch - ON;Pitot Heater On;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3009pnilunilcd5vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Rocket Release Selector Switch - OFF;;Arresting Hook Handle - Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3027pnilunilcd5vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Rocket Release Selector Switch - Up;;;;;;;;;Shunt switch ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3010pnilunilcd5vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Rocket Release Selector Switch Cover - CLOSE;;Anti Skid Switch - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3028pnilunilcd5vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Rocket Release Selector Switch Cover - OPEN/CLOSE;;;;;;;;;Radio switch ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3010pnilu3010cd13vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;Rudder Trim Switch - RIGHT;;Select Gun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d73pnilunilcdnilvd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Speed Brake Switch - Down;Speed Brake Switch - Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d73pnilunilcdnilvd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Speed Brake Switch - Up;Speed Brake Switch - Up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3012pnilu3012cd13vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;Take-Off Position Indicator Light Test;;Select Sidewinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3002pnilunilcd13vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Throttle - Start Engine;Throttle - Start Engine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd34vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Toggle AI Helper - ON/OFF;;;;;;;;;;;;;;;;;;;;;Toggle AI Helper, On/Off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3012pnilunilcd22vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Variable Sight Selector Unit - Target Speed Switch - TR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UHF Radio 10MHz Increase;;;;;;
d3001pnilu3001cd53vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;ALR-67 POWER Pushbutton (special) - ON/OFF;;;;;;;;;;;;;;;KO-50 Heater Start Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd53vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;ALR-67 POWER Pushbutton - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Request Aircraft Control;;;;;;
d3021pnilunilcd34vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Altitude Switch - BARO/RDR;;;;;;;;;Engine Control Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3009pnilu3009cd5vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Arresting Hook Handle (special) - Up/Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VHF Radio Units Rotator -;;;;;;;;;;;;;;;;
d3022pnilunilcd34vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Attitude Selector Switch - Up;;;;;;;;;Air Start Button - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3002pnilunilcd7vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Canopy Control Switch - HOLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nav Lights Off;;;;;;
d3003pnilunilcd7vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Canopy Jettison Handle - PULL;;;;;;;Rockect/Bomb Selector Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3011pnilunilcd40vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;COMM G XMT Switch - COMM 1;;;;;;;;;;;;;;;ARC-9 Dial Selector Switch - MAIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3011pnilunilcd40vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;COMM G XMT Switch - OFF;;;;;;;;;;;;;;;ARC-9 Dial Selector Switch - BACKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3010pnilu3010cd40vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Comm Relay Switch - CIPHER/OFF;;;;;;;;;;;;;;;ARC-9 Loop Antenna Switch - RIGHT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3010pnilu3010cd40vd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Comm Relay Switch - PLAIN/OFF;;;;;;;;;;;;;;;ARC-9 Loop Antenna Switch - LEFT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3018pnilunilcd7vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Control Stick - HIDE/SHOW (assist);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Auto-Collective Toggle;;;;;;;;;;;;;;;;
d3007pnilunilcd7vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Ejection Seat Manual Override Handle - PULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Landing light Extend;;;;;
d3007pnilunilcd7vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Ejection Seat Manual Override Handle - PUSH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Landing light Stop;;;;;
d3022pnilunilcd12vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Engine Anti-Ice Switch - Down;;;;;;;;;;;;;;;Mode UPK/PKT/RS Switch - RS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3022pnilunilcd12vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Engine Anti-Ice Switch - Up;;;;;;;;;;;;;;;Mode UPK/PKT/RS Switch - UPK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3031pnilu3031cd3vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;External Power Switch - RESET;;;;;;;;;;;;;;;Anti-Icing OFF Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3007pnilu3007cd2vd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;FLAP Switch - FULL/HALF;;;;;;;Oil radiator flaps Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3006pnilu3006cd2vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;GAIN Switch (special) - NORM/ORIDE;;;;;;;Motor cooling flaps Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3033pnilunilcd3vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Generator TIE Control Switch Cover - OPEN/CLOSE;;;;;;;;;;;;;;;Right Engine Heater Switch - AUTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3036pnilu3036cd3vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Ground Power Switch 2 - A ON;;;;;;;;;;;;;;;Ice Detector Heater Test Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3040pnilu3040cd3vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Ground Power Switch 4 - A ON;;;;;;;;;;;;;;;Left Pitot Heater Test Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3003pnilunilcd34vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;HUD Symbology Brightness Selector Knob - DAY;;;;;;;;;;;;;;;Left HSI Radio Compass Selector Switch - ARC-UD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3003pnilunilcd34vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;HUD Symbology Brightness Selector Knob - NIGHT;;;;;;;;;;;;;;;Left HSI Radio Compass Selector Switch - ARC-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3013pnilunilcd40vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;IFF Mode 4 Switch - DIS/AUD;;;;;;;;;;;;;;;ARC-9 Signal Mode Switch - TLF/TLG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3016pnilunilcd40vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;ILS UFC/MAN Switch - UFC;;;;;;;;;;;;;;;ARC-9 Backup Frequency Dial 100 kHz Knob - Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd41vd0.3vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;KY-58 Mode Select Knob - RV;;;;;;;;;;;;;;;ARC-UD Mode Selector Switch - PULSE SIGNAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd41vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;KY-58 Power Select Knob - OFF;;;;;;;;;;;;;;;ARC-UD Channel Selector Switch - 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd41vd0.1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;KY-58 Power Select Knob - ON;;;;;;;;;;;;;;;ARC-UD Channel Selector Switch - 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd41vd0.2vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;KY-58 Power Select Knob - TD;;;;;;;;;;;;;;;ARC-UD Channel Selector Switch - 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3008pnilu3008cd5vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Launch Bar Control Switch - EXTEND/RETRACT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VHF Radio Units Rotator +;;;;;;;;;;;;;;;;
d3004pnilu3004cd8vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;LDG/TAXI LIGHT Switch (special) - ON/OFF;;;;;;;;;;;;;;;SPUU-52 Test Switch - t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3012pnilunilcd12vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Left Engine/AMAD Fire Warning/Extinguisher Light Cover - CLOSE;;;;;;;;;;;;;;;ESBR Heating Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3020pnilunilcd12vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Left Engine/AMAD Fire Warning/Extinguisher Light Cover - OPEN/CLOSE;;;;;;;;;;;;;;;Rocket Serie 8-16-4 Switch - 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3010pnilunilcd12vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Left Engine/AMAD Fire Warning/Extinguisher Light Switch - PRESS;;;;;;;;;;;;;;;;;;;Emergency Flaps Valve Cover;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3018pnilu3018cd35vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Left MDI PB 8;;;;;;;;;;;;;;;;;;;;;;;Accelerometer Reset;;;;;;;;;;;;;;;;;;;;;;;;;
d3014pnilunilcd23vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Master Arm Switch - ARM/SAFE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VHF FM Radio Mode Select (rotary);;;;;;
d3003pnilunilcd23vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Master Arm Switch - SAFE;;;;;;;;;;;;;;;Set Technician Seat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3050pnilu3050cd3vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;MC Switch - 1 OFF;;;;;;;;;;;;;;;Left Engine FT Test Switch - ST1/WORK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3051pnilu3051cd3vd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;MC Switch - 2 OFF;;;;;;;;;;;;;;;Right Engine FT Test Switch - ST2/WORK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3016pnilu3016cd3vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Pitot Heater Switch - ON/AUTO;;;;;;;;;;;;;;;;;;;;;;;START ENGINE;;;;;;;;;;;;;;;;;;;;;;;;;
d3002pnilu3002cd6vd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Probe Control Switch - EMERG EXTD/RETRACT;;;;;;;Oxygen emergency valve Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3021pnilunilcd12vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Right Engine/AMAD Fire Warning/Extinguisher Light Cover - OPEN/CLOSE;;;;;;;;;;;;;;;Rocket Pylons 1-2-5-6/Auto/3-4 Switch - AUTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3011pnilunilcd12vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Right Engine/AMAD Fire Warning/Extinguisher Light Switch - PRESS;;;;;;;;;;;;;;;;;;;Emergency Gears Valve Cover;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3025pnilu3025cd36vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Right MDI PB 15;;;;;;;;;;;;;;;Radio trigger - RADIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3012pnilu3012cd7vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Rudder Pedal Adjust Lever;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Auto-Slaved Toggle;;;;;;;;;;;;;;;;
d3003pnilu3003cd13vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;Weapon Release Button;;;;;;;;;;;;;;;;;;;Gear Lamps Test Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3010pnilunilcd2vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Wing Fold Control Handle - STOW;;;;;;;;;;;;;;;Right Shutoff Valve Switch Cover - CLOSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3004unilcd20vdnilvp-0.1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;Ammo counter 1 Decrease;Ammo counter 1 Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3004unilcd20vdnilvp0.1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;Ammo counter 1 Increase;Ammo counter 1 Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3006unilcd20vdnilvp-0.1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;Ammo counter 2 Decrease;Ammo counter 2 Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3006unilcd20vdnilvp0.1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;Ammo counter 2 Increase;Ammo counter 2 Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3008unilcd20vdnilvp-0.1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;Ammo counter 3 Decrease;Ammo counter 3 Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3008unilcd20vdnilvp0.1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;Ammo counter 3 Increase;Ammo counter 3 Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3010unilcd20vdnilvp-0.1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;Ammo counter 4 Decrease;Ammo counter 4 Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3010unilcd20vdnilvp0.1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;Ammo counter 4 Increase;Ammo counter 4 Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
